Date,Bean+Natural,Bean+Blue,Bean+Red,Lettuce+Natural,Lettuce+Blue,Lettuce+Red
05/01/25,"Planting started, 1 seed + wetting","Planting started, 1 seed + wetting","Planting started, 1 seed + wetting","Planting started, 1 seed + wetting","Planting started, 1 seed + wetting","Planting started, 1 seed + wetting"
05/02/25,Rain,Rain,Rain,Rain,Rain,Rain
05/03/25,Sunlight,Sunlight,Sunlight,Sunlight,Sunlight,Sunlight
05/04/25,,,,,,
05/05/25,,,,,,
05/06/25,,Germination,,,,
05/07/25,,Sprouting,Germination,,,
05/08/25,,Seedling,Sprouting,,,
05/09/25,,2 inches tall,Seedling,,,
05/10/25,,Blue light exposure,Red light exposure,,,
05/11/25,Wet,Wet,Wet,,,
05/12/25,,"1st plant 4inch tall, 2nd plant 4inches tall"," Plant 4inch tall,",,,
05/13/25,,,,,,
05/14/25,,,,,,
05/15/25,,,,,,
