Date,Bean+Natural (White Light),Bean+Blue,Bean+Red,Lettuce+Natural,Lettuce+Blue,Lettuce+Red
5/1/2025,"Planting started, 1 seed + wetting","Planting started, 1 seed + wetting","Planting started, 1 seed + wetting","Planting started, 1 seed + wetting","Planting started, 1 seed + wetting","Planting started, 1 seed + wetting"
5/2/2025,Rain,Rain,Rain,Rain,Rain,Rain
5/3/2025,Sunlight,Sunlight,Sunlight,Sunlight,Sunlight,Sunlight
5/4/2025,,,,,,
5/5/2025,,,,,,
5/6/2025,,Germination,,,,
5/7/2025,,Sprouting,Germination,,,
5/8/2025,,Seedling,Sprouting,,,
5/9/2025,,2 inches tall,Seedling,,,
5/10/2025,,Blue light exposure,Red light exposure,,,
5/11/2025,Wet,Wet,Wet,,,
5/12/2025,,"1st plant 4inch tall, 2nd plant 4inches tall"," Plant 4inch tall,",,,
5/13/2025,,,,,,
5/14/2025,,,,,,
5/15/2025,"Fresh, green leaves, broadest leaves, 7.5 inches tall","Shrinking leaves, withering leaves, turning brown, with molds at 6.5 inches length","Stunted growth, 1 withering leaf and 1 dead leaf, mold growth, at 5.5 inches",,,
